FEATURE,sens assoc,res assoc,total
Muslim Militants,0.0,1.0,1.0
Muslims,0.0,1.0,1.0
Muttahida Qami Movement (MQM),0.0,1.0,1.0
NGO,0.0,1.0,1.0
National Liberation Force of Bengalis (Bangali Janamukti Bahini),1.0,0.0,1.0
National Socialist Council of Nagaland,0.0,1.0,1.0
Naxalites,0.0,1.0,1.0
North Central,0.0,1.0,1.0
North Eastern,0.0,1.0,1.0
Nuristan,0.0,1.0,1.0
Opposition Militants,0.0,1.0,1.0
Orissa,0.0,1.0,1.0
Paktia,0.0,1.0,1.0
Paktika,0.0,1.0,1.0
Parwan,0.0,1.0,1.0
Peoples Liberation Front (JVP),0.0,1.0,1.0
Peoples War Group (PWG),0.0,1.0,1.0
Province 1,1.0,0.0,1.0
Province 2,1.0,0.0,1.0
Province 3,1.0,0.0,1.0
Province 4,1.0,0.0,1.0
Province 5,1.0,0.0,1.0
Province 7,1.0,0.0,1.0
Shanti Bahini - Peace Force,0.0,1.0,1.0
Shia Muslim extremists,0.0,1.0,1.0
Southern,0.0,1.0,1.0
Students Islamic Movement of India (SIMI),0.0,1.0,1.0
Sudan,0.0,1.0,1.0
TerroristsNon-State Militia,0.0,1.0,1.0
United Liberation Front of Assam (ULFA),0.0,1.0,1.0
Uruzgan,0.0,1.0,1.0
Vigilante Group,0.0,1.0,1.0
Zabul,0.0,1.0,1.0
